drugbank_id,drug_name
DB00280,disopyramide
DB00281,lidocaine
DB00282,pamidronic acid
DB00283,clemastine
DB00284,acarbose
DB00285,venlafaxine
DB00286,conjugated estrogens
DB00287,travoprost
DB00288,amcinonide
DB00289,atomoxetine
DB00290,bleomycin
DB00291,chlorambucil
DB00292,etomidate
DB00293,raltitrexed
DB00294,etonogestrel
DB00295,morphine
DB00296,ropivacaine
DB00297,bupivacaine
DB00298,dapiprazole
DB00299,penciclovir
DB00300,tenofovir disoproxil
DB00301,flucloxacillin
DB00302,tranexamic acid
DB00303,ertapenem
DB00304,desogestrel
DB00305,mitomycin
DB00306,talbutal
DB00307,bexarotene
DB00308,ibutilide
DB00309,vindesine
DB00310,chlorthalidone
DB00311,ethoxzolamide
DB00312,pentobarbital
DB00313,valproic acid
DB00314,capreomycin
DB00315,zolmitriptan
DB00316,acetaminophen
DB00317,gefitinib
DB00318,codeine
DB00319,piperacillin
DB00320,dihydroergotamine
DB00321,amitriptyline
DB00322,floxuridine
DB00323,tolcapone
DB00324,fluorometholone
DB00325,nitroprusside
DB00326,calcium glucoheptonate
DB00327,hydromorphone
DB00328,indomethacin
DB00330,ethambutol
DB00331,metformin
DB00332,ipratropium
DB00333,methadone
DB00334,olanzapine
DB00335,atenolol
DB00336,nitrofural
DB00337,pimecrolimus
DB00338,omeprazole
DB00339,pyrazinamide
DB00340,metixene
DB00341,cetirizine
DB00342,terfenadine
DB00343,diltiazem
DB00344,protriptyline
DB00345,aminohippuric acid
DB00346,alfuzosin
DB00347,trimethadione
DB00348,nitisinone
DB00349,clobazam
DB00350,minoxidil
DB00351,megestrol acetate
DB00352,tioguanine
DB00353,methylergometrine
DB00354,buclizine
DB00355,aztreonam
DB00356,chlorzoxazone
DB00357,aminoglutethimide
DB00358,mefloquine
DB00359,sulfadiazine
DB00360,sapropterin
DB00361,vinorelbine
DB00362,anidulafungin
DB00363,clozapine
DB00364,sucralfate
DB00365,grepafloxacin
DB00366,doxylamine
DB00367,levonorgestrel
DB00368,norepinephrine
DB00369,cidofovir
DB00370,mirtazapine
DB00371,meprobamate
DB00372,thiethylperazine
DB00373,timolol
DB00374,treprostinil
DB00375,colestipol
DB00376,trihexyphenidyl
DB00377,palonosetron
DB00378,dydrogesterone
DB00379,mexiletine
DB00380,dexrazoxane
DB00381,amlodipine
DB00382,tacrine
DB00383,oxyphencyclimine
DB00384,triamterene
DB00385,valrubicin
DB00387,procyclidine
DB00388,phenylephrine
DB00389,carbimazole
DB00390,digoxin
DB00391,sulpiride
DB00392,profenamine
DB00393,nimodipine
DB00394,beclomethasone dipropionate
DB00395,carisoprodol
DB00396,progesterone
DB00397,phenylpropanolamine
DB00398,sorafenib
